Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
132,Johnstonville Elementary School District,8.7,10447,79091
133,Vacaville Unified School District,8.78,10517,78668
134,Torrance Unified School District,8.86,10632,90470
135,Grant Elementary School District,8.9,10191,92841
136,Jefferson Elementary School District,9.02,11280,87133
137,Ocean View Elementary School District,9.02,11586,85507
138,Fillmore Unified School District,9.02,13101,64761
139,Chino Unified School District,9.06,10448,91589
140,Santa Maria Joint Union High School District,9.08,13017,65161
141,Westwood Unified School District,9.11,16686,45641
142,Alum Rock Union Elementary School District,9.33,13726,74349
143,Huntington Bch City Elementary School District,9.35,9752,95490
144,Temecula Valley Unified School District,9.42,9650,96079
145,Live Oak Elementary School District,9.48,11961,70498
146,Mupu School District,9.53,10045,94063
147,Cotati-Rohnert Pk Unified School District,9.66,12358,68262
148,Garden Grove Unified School District,9.82,12765,65981
149,Murrieta Valley Unified School District,9.85,10906,89705
150,East Nicolaus Joint Union High School District,9.88,11688,71667
151,Winters Joint Unified School District,9.88,12174,82988
152,Alvord Unified School District,9.91,12822,65619
153,Hemet Unified School District,9.95,16755,44680
154,Sonoma Valley Unified School District,10.01,13009,78638
155,Siskiyou Union High School District,10.06,16282,47116
156,Ramona City Unified School District,10.16,10918,89864
157,Junction City Elementary School District,10.19,18357,50338
158,San Lorenzo Unified School District,10.27,11408,72877
159,Burbank Unified School District,10.29,11331,73277
160,Atascadero Unified School District,10.31,10597,77163
161,Oak Grove Union Elementary School District,10.38,8423,88672
162,Cucamonga School District,10.4,13640,60921
163,Sweetwater Union High School District,10.51,12775,65443
164,Monterey Peninsula Unified School District,10.54,12052,69263
165,Savanna Elementary School District,10.67,11568,71747
166,Jurupa Unified School District,10.69,12538,66579
167,French Gulch-Whiskeytown Elementary School District,10.73,16931,43194
168,Bret Harte Union High School District,10.75,16726,59404
169,El Dorado Unified High School District,10.85,11575,86856
170,Buena Park Elementary School District,10.97,12770,65150
171,Junction Elementary School District,10.98,19393,45385
172,Bellevue Union Elementary School District,11,13148,63118
173,Two Rock Union School District,11.1,14097,73625
174,Harmony Union Elementary School District,11.11,13417,77250
175,Oakley Union Elementary School District,11.2,10399,93355
176,Brea Olinda Unified School District,11.23,10267,94079
177,Little Lake Elementary School District,11.26,11734,70453
178,Monroe Elementary School District,11.46,15874,48304
179,San Ysidro Elementary School District,11.55,14474,55684
180,Forestville Elementary School District,11.6,15243,67887
181,Wheatland School District,11.62,12849,64268
182,Corona Norco Unified School District,11.67,11351,88620
183,Esparto Unified School District,11.79,12223,67477
184,Lake Elsinore Unified School District,11.97,11718,70034
185,North County Joint Union School District,12.02,9035,101179
186,Silver Vly Unified School District,12.13,14892,53050
187,Huntington Beach Union High School District,12.14,12190,84493
188,Whittier City School District,12.15,12292,66857
189,Vallecito Union Elementary School District,12.18,14550,54833
190,Southside Elementary School District,12.18,8301,105196
191,Garvey Elementary School District,12.58,15576,49096
192,Pleasant Valley School District,12.74,10193,95532
193,Vista Unified School District,12.77,11234,72046
194,Shandon Unified School District,12.91,13991,57292
195,Santa Ynez Valley Union High School District,12.96,12514,83346
196,Rosemead Elementary School District,12.97,13514,59788
197,Outside Creek Elementary School District,13,11843,68647
198,San Diego City Unified School District,13.1,11416,70843
199,Bennett Valley Union School District,13.12,10767,92750
200,Mountain View Elementary School District,13.24,15707,47939
201,El Monte City School District,13.32,15499,48984
202,Pasadena Unified School District,13.34,12727,82485
203,Santa Ana Unified School District,13.56,12971,62257
204,Tres Pinos Union Elementary School District,13.58,8872,84028
205,Upland Unified School District,13.6,11401,70571
206,Pittsburg Unified School District,13.67,12617,64057
207,Mccabe Union Elementary School District,13.7,9660,99038
208,Hope Elementary School District,13.74,10785,73750
209,West Sonoma County Union High School District,13.78,14022,75911
210,Dixon Unified School District,14.14,9814,78630
211,Bogus Elementary School District,14.22,19385,47708
212,Loomis Union School District,14.23,6341,97029
213,Manteca Unified School District,14.23,11523,69479
214,Raymond Knowles Union Elementary School District,14.29,13975,56406
215,Walnut Creek Elementary School District,14.31,11430,90062
216,Linden Unified School District,14.46,11702,68370
217,Anaheim Elementary School District,14.51,12553,63812
218,Peninsula Union School District,14.54,16865,40865
219,Rincon Valley Union Elementary School District,14.85,13153,81283
220,Fontana Unified School District,14.87,13064,60840
221,Black Oak Mine Unified School District,14.9,10827,72713
222,San Lucas Union Elementary School District,14.91,14527,53036
223,Helendale Elementary School District,14.91,10508,74400
224,Mammoth Unified School District,15.1,12016,66250
225,Leggett Valley Unified School District,15.17,20276,22292
226,Woodland Joint Unified School District,15.34,12226,64965
227,Round Valley Elementary School District,15.37,11510,68750
228,Saddleback Valley Unified School District,15.45,10660,94957
229,Redlands Unified School District,15.49,10625,73366
230,Moreno Valley Unified School District,15.54,12732,62131
231,Long Beach Unified School District,15.58,12489,63395
232,Nevada Joint Union High School District,15.65,13353,58756
233,Montgomery Elementary School District,15.67,20171,44554
234,Gold Oak Unified Elementary School District,15.76,10256,75139
235,Dunham Elementary School District,15.8,11135,92679
236,Davis Joint Unified School District,15.85,12299,64220
237,Claremont Unified School District,15.86,11543,90549
238,Cypress Elementary School District,15.87,10827,94365
239,Mountain Valley Unified School District,15.92,18842,29389
240,El Rancho Unified School District,15.93,11914,66210
241,Bangor Union Elementary School District,16.01,16618,41146
242,Lemon Grove School District,16.06,12603,62456
243,El Monte Union High School District,16.14,14911,50130
244,Hueneme Elementary School District,16.15,11921,66013
245,Patterson Joint Unified School District,16.31,12086,65025
246,Roseville Joint Union High School District,16.32,11916,88890
247,Fallbrook Union Elementary School District,16.33,12799,61221
248,La Mesa-Spring Valley Elem,16.34,11347,68935
249,Durham Unified School District,16.46,10785,71835
250,Gonzales Unified School District,16.59,13360,58056
251,Byron Union Elementary School District,16.63,7932,110290
252,Simi Valley Unified School District,16.68,10765,95265
253,Glendale Unified School District,16.68,12006,65188
254,Ontario Montclair School District,16.81,13829,55410
255,Central Union Elementary School District,17,14503,51694
256,San Rafael Elementary District,17.03,12069,88577
257,Camino Union Elementary District,17.05,11423,68032
258,Alhambra Unified School District,17.05,13482,57081
259,Benicia Unified School District,17.12,10132,98940
260,Pacific Elementary School District,17.29,12275,63333
261,Santa Paula Unified School District,17.47,13710,55574
262,Little Shasta Elementary School District,17.55,21188,40469
263,Sanger Unified School District,17.57,11545,67014
264,Salinas Union High School District,17.7,12363,62576
265,Lakeside Union Elementary School District,17.71,10159,74281
266,Richmond Elementary School District,17.79,8368,83750
267,Indian Diggings Elementary School District,17.87,14000,53750
268,Alameda Unified School District,17.93,10387,98150
269,Buckeye Union School District,18,8491,108283
270,Flournoy Union Elementary School District,18.04,15154,47500
271,Los Angeles Unified School District,18.08,13247,57607
272,Kingsburg Joint Unified High School District,18.13,11874,64869
273,Oakland Unified School District,18.2,11195,68428
274,Orange Unified School District,18.41,11434,92925
275,Snelling-Merced Falls Union Elementary School District,18.42,14110,52778
276,Southern Kern Unified School District,18.43,13442,56328
277,Panama Buena Vista Union School District,18.48,11008,69229
278,Gazelle Union Elementary School District,18.56,21269,40750
279,Antelope Valley Union High School District,18.58,13553,55630
280,San Luis Coastal Unified School District,18.65,12344,62008
281,Beaumont Unified School District,18.75,10693,70715
282,Carpinteria Unified School District,18.76,14403,77392
283,Romoland Elementary School District,18.85,11690,65342
284,Ballico Cressey Elementary School District,19.01,12079,63164
285,Le Grand Union High School District,19.01,15840,43167
286,Eastside Union High School District,19.11,10292,99492
287,Magnolia Elementary School District,19.21,12723,59597
288,FRank*lin Elementary School District,19.21,9167,78500
289,Carlsbad Unified School District,19.25,10420,98904
290,Glendora Unified School District,19.26,10953,96081
291,Washington Unified School District,19.31,11767,64611
292,Williams Unified School District,19.33,12251,62024
293,Alta Dutch Flat Union Elementary School District,19.51,12294,61667
294,Norris Elementary School District,19.74,8359,110208
295,Natomas Unified School District,19.99,9532,76009
296,Twin Hills Union Elementary School District,20.09,10473,99216
297,Sierra Plumas Joint Unified School District,20.16,14504,49464
298,Oak View Elementary School District,20.22,9759,74643
299,Maxwell Unified School District,20.26,12410,60526
300,Fruitvale Elementary School District,20.29,9735,74722
301,Paso Robles Joint Unified School District,20.3,11612,64740
302,South Pasadena Unified School District,20.34,11002,96579
303,Grossmont Union High School District,20.37,10759,69219
304,Denair Unified School District,20.63,12908,86652
305,Vallejo City Unified School District,20.69,11239,66446
306,Penn Valley Union Elementary School District,20.75,11909,62843
307,Soledad Unified School District,20.77,12754,58333
308,Bellflower Unified School District,20.79,12198,61277
309,Summerville Elementary School District,20.81,10650,69489
310,Robla Elementary School District,20.81,13441,54652
311,Culver City Unified School District,20.83,12209,90510
312,Saucelito Elementary School District,21.07,13953,51750
313,FRank*lin Mckinley Elementary Sch,21.09,10086,72292
314,Solvang Elementary School District,21.15,9013,77955
315,Bella Vista Elementary School District,21.2,12026,61906
316,Travis Unified School District,21.21,10877,97859
317,Palm Springs Unified School District,21.23,14951,46335
318,William S Hart Union High School District,21.26,10579,99477
319,Plumas Elementary School District,21.28,10406,100412
320,Soulsbyville Elementary School District,21.42,9189,76829
321,Delphic Elementary School District,21.42,11918,62321
322,Le Grand Union Elementary School District,21.43,14440,48906
323,Fieldbrook Elementary School District,21.48,10583,69375
324,Elkins Elementary School District,21.57,16333,38750
325,Sutter Union High School District,21.66,10293,70789
326,San Antonio Union Elementary School District,21.71,14116,50433
327,Arcadia Unified School District,21.74,11607,94347
328,Westminster School District,21.77,11694,63266
329,Summerville Union High School District,21.8,11859,62365
330,Delhi Unified School District,21.81,13235,55045
331,Jefferson Elementary School District,21.83,9948,103234
332,Jamul-Dulzura Union School District,21.84,10857,98409
333,Gilroy Unified School District,21.85,11239,96385
334,Pleasant Ridge Union Elementary School District,22.09,10500,69389
335,Placentia-Yorba Linda Unified,22.1,11108,97253
336,Rio Bravo-Greeley Union School District,22.19,10259,101833
337,Pleasant Grove Joint Union Elementary School District,22.26,9880,72563
338,Canyon Elementary School District,22.58,13556,84583
339,Garfield Elementary School District,22.59,12355,90972
340,San Miguel Joint Union Elementary School District,22.63,11107,65785
341,Rosedale Union Elementary School District,22.79,10896,98870
342,Martinez Unified School District,22.81,11112,97734
343,Temple City Unified School District,22.98,10788,67233
344,South Bay Union School District,23.05,13642,52011
345,Windsor Unified School District,23.08,11332,96757
346,Escalon Unified School District,23.1,10368,69380
347,El Segundo Unified School District,23.19,10959,98813
348,Santa Maria-Bonita School District,23.21,12298,59041
349,Trinity Center Elementary School District,23.28,21917,40625
350,Sacramento City Unified School District,23.41,12722,56651
351,Briggs School District,23.51,11557,62772
352,Stone Corral Elementary School Districtrict,23.72,15989,39063
353,Lodi Unified School District,23.78,11165,64665
354,Mcswain Union Elementary School District,24.17,10513,101875
355,New Hope Elementary School District,24.28,15356,42031
356,Knightsen Elementary School District,24.35,10318,103036
357,Butteville Elementary School District,24.39,10459,67989
358,Mother Lode Union Elementary School District,24.53,10606,67108
359,Newman-Crows Landing Unified School District,24.57,11775,60868
360,Rialto Unified School District,24.59,12504,56977
361,Round Valley Unified School District,24.65,16024,38224
362,Burnt Ranch Elementary School District,24.68,15000,43646
363,Biggs Unified School District,24.7,11944,59872
364,Lewiston Elementary School District,24.71,16097,37794
365,Plumas Unified School District,24.73,13197,53194
366,Desert Sands Unified School District,24.9,12561,56458
367,Gateway Unified School District,24.96,14200,47700
368,Walnut Valley Unified School District,24.99,10783,101018
369,Pacheco Union Elementary School District,25.01,10520,67228
370,Curtis Creek Elementary School District,25.02,11875,60018
371,Columbia Elementary School District,25.13,11192,63571
372,Paramount Unified School District,25.13,12942,54267
