Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
577,Chowchilla Union High School District,40.63,11947,48648
578,Berryessa Union Elementary School District,40.63,10961,111080
579,Bridgeville Elementary School District,40.66,22654,48942
580,Keppel Union Elementary School District,40.81,12165,47361
581,Bass Lake Joint Union Elementary School District,40.84,10375,56856
582,Shiloh Elementary School District,40.86,10663,55313
583,Fortuna Union High School District,40.91,12577,45105
584,Roberts Ferry Union Elementary School District,41.18,11750,49306
585,Buttonwillow Union Elementary School District,41.21,14078,36914
586,Selma Unified School District,41.41,13113,41902
587,Fresno Unified School District,41.41,13567,39488
588,Coalinga Huron Joint Unified School District,41.42,12698,44101
589,Semitropic Elementary School District,41.5,13851,37917
590,Camptonville Union School District,41.55,10239,57083
591,Hesperia Unified School District,41.57,10574,55286
592,Coronado Unified School District,41.63,12891,101520
593,Newark Unified School District,41.95,11681,108181
594,Amador County Unified School District,41.95,9411,61198
595,Nuestro Elementary School District,42,7436,71667
596,Adelanto Elementary School District,42,11686,49070
597,Oak Grove Elementary School District,42.02,11772,107744
598,Dixie Elementary School District,42.03,12037,106344
599,Fort Bragg Unified School District,42.06,12081,46927
600,Kings Canyon Unified School District,42.36,12686,43502
601,Hamilton Unified School District,42.37,12509,44438
602,Heber Elementary School District,42.45,12525,44293
603,Julian Union High School District,42.48,21748,55036
604,Magnolia Union Elementary School District,42.57,10789,53438
605,Lassen View Elementary School District,42.61,9963,57800
606,Marysville Unified School District,42.72,11862,47629
607,New Haven Unified School District,42.75,12313,105379
608,Gerber Union Elementary School District,42.87,12763,42734
609,Plaza Elementary School District,42.87,8809,63750
610,Madera Unified School District,43,12013,46628
611,Colfax Elementary School District,43.04,10355,55417
612,Santa Clara Elementary School District,43.08,11017,112500
613,Kings River Elementary School District,43.08,12194,45610
614,Pacific Grove Unified School District,43.26,16031,85979
615,Exeter Unified School District,43.35,11624,48455
616,Bonny Doon Union Elementary,43.38,13774,98056
617,Happy Camp Union Elementary School District,43.48,14102,35185
618,Fairfax Elementary School District,43.65,12043,46012
619,Dunsmuir Elementary School District,43.72,14368,33603
620,Springville Union Elementary School District,43.82,9749,58088
621,Mesa Union Elementary School District,43.95,5048,144844
622,Planada Elementary School District,43.96,13065,40361
623,Mckinleyville Union Elementary School District,44,10806,52344
624,King City Union School District,44.05,11502,48605
625,Campbell Union School District,44.11,13244,101387
626,Lake Elementary School District,44.13,9818,57500
627,Reef Sunset Unified School District,44.23,13050,40255
628,Owens Valley Unified School District,44.26,24424,42063
629,Shasta Union Elementary School District,44.28,9744,57793
630,Westmorland Union Elementary School District,44.38,13562,37426
631,College Elementary School District,44.71,17124,81184
632,Farmersville Unified School District,45.1,13268,38481
633,Delano Joint Union High School District,45.29,13447,37398
634,Kenwood School District,45.3,18950,71898
635,Gridley Unified School District,45.5,10900,50788
636,Lakeport Unified School District,45.57,11828,45808
637,Colusa Unified School District,45.57,11019,50106
638,Pacifica School District,45.71,10791,115555
639,El Tejon Unified School District,45.73,11846,45595
640,Brawley Elementary School District,45.9,12308,43024
641,Poway Unified School District,46.05,11181,113719
642,Freshwater Elementary School District,46.23,10525,52269
643,Nuview Union School District,46.29,8630,62301
644,South Humbolot Joint Unified School District,46.32,12944,39341
645,Butte Valley Unified School District,46.35,14000,33707
646,Newport Mesa Unified School District,46.4,14459,96542
647,Pioneer Union Elementary School District,46.49,14119,32981
648,Eureka City Unified School District,46.51,12082,43794
649,Palo Verde Unified School District,46.53,12469,41723
650,Cottonwood Union Elementary School District,46.57,10560,51842
651,Wilsona School District,46.63,13050,38562
652,Meadows Elementary School District,46.83,12839,39545
653,Morgan Hill Unified School District,46.89,9890,121178
654,Pond Union Elementary School District,46.97,14145,32500
655,Washington Colony Elementary School District,47.01,11469,46700
656,Dinuba Unified School District,47.1,12212,42690
657,Lakeside Union Elementary School District,47.12,12221,42625
658,Lost Hills Union Elementary School District,47.36,13729,34438
659,Arvin Union School District,47.37,12985,38387
660,Taft City School District,47.43,11580,45811
661,Lancaster School District,47.48,11123,48208
662,Mountain Empire Unified School District,47.56,7565,67067
663,Greenfield Union School District,47.61,11008,48729
664,Victor Elementary School District,47.89,11138,47841
665,Mojave Unified School District,47.91,12300,41652
666,Woodville Elementary School District,47.94,14235,31339
667,Vallecitos Elementary School District,47.98,7157,68938
668,Klamath River Elementary School District,48.17,14300,30833
669,Fortuna Elementary School District,48.23,11359,46427
670,Calexico Unified School District,48.25,12423,40759
671,Atwater Elementary School District,48.26,10305,52006
672,Oroville Union High School District,48.27,12497,40349
673,Moreland School District,48.28,12703,107199
674,Mattole Unified School District,48.61,10872,48750
675,Chico Unified School District,48.7,10215,52176
676,Waukena Unified Elementary School District,48.72,12447,40294
677,Blake Elementary School District,48.76,15846,90833
678,Big Springs Elementary School District,48.82,10391,51154
679,Lagunitas Elementary School District,49.21,16233,89091
680,Winton School District,49.35,11692,43866
681,Earlimart Elementary School District,49.56,14169,30552
682,Dos Palos Oro-Loma Joint Unified,49.56,12104,41528
683,Cambrian School District,49.63,10879,117845
684,Parlier Unified School District,49.64,13644,33290
685,Cutler-Orosi Unified School District,49.65,12892,37274
686,South Fork Union School District,49.71,13469,34167
687,Merced City School District,49.74,11348,45424
688,Orland Joint Unified School District,49.74,11159,46426
689,Grenada Elementary School District,50.13,10615,49046
690,West Park Elementary School District,50.15,11844,42500
691,Oak Run Elementary School District,50.28,11591,43750
692,Lennox School District,50.57,11495,44059
693,San Jacinto Unified School District,50.76,10938,46886
694,Stockton City Unified School District,50.93,12022,40998
695,Chowchilla Elementary School District,50.99,10556,48750
696,Hot Springs Elementary School District,51,16167,18917
697,Borrego Springs Unified School District,51.19,12471,38431
698,Richgrove Elementary School District,51.24,15589,21824
699,Sunnyside Unified Elementary School District,51.25,13194,34545
700,Victor Valley Joint Union High School District,51.52,10398,49219
701,Kerman Unified School District,51.52,11086,45559
702,Mendocino Unified School District,51.55,21468,62912
703,San Francisco Unified School District,51.59,13640,104552
704,Red Bluff Union Elementary School District,51.82,12011,40434
705,Richfield Elementary School District,51.92,10081,50625
706,Evergreen Union Elementary School District,52.14,10341,49085
707,Mt Shasta Union School District,52.26,10496,48179
708,Clay Joint Elementary School District,52.29,9561,53125
709,Wasco Union Elementary School District,52.42,12404,37925
710,Alview Dairyland Union Elementary,52.56,10858,46042
711,Lamont Elementary School District,52.6,11930,40316
712,Calipatria Unified School District,52.6,13804,30350
713,Morongo Unified School District,52.71,11870,40559
714,Richland-Lerdo Elementary,52.89,11514,42323
715,Barstow Unified School District,53,11482,42412
716,Di Giorgio Elementary School Districtrict,53.01,12607,36429
717,Hydesville Elementary School District,53.07,9687,51905
718,Terra Bella Union Elementary School District,53.18,12907,34712
719,Kernville Union Elementary School District,53.43,12920,34471
720,Oroville City Elementary School District,53.62,11387,42483
721,Washington Unified School District,53.74,12257,37778
722,Monson Sultana Joint Union Elementary School District,54.18,11440,41806
723,Coast Unified School District,54.36,20790,68490
724,Santa Cruz City High School District,54.39,260,101094
725,Willits Unified School District,54.66,11286,42292
726,Corcoran Joint Unified School District,54.72,12004,38429
727,Konocti Unified School District,54.79,12966,33264
728,Scotia Union Elementary School District,54.89,12094,37831
729,Porterville Unified School District,55.02,12321,36531
730,Needles Unified School District,55.26,13191,31738
731,Campbell Union High School District,55.29,13228,109341
732,Wasco Union High School District,55.3,12037,37844
733,Pixley Union Elementary School District,55.46,14005,27269
734,Susanville Elementary School District,55.63,9188,52758
735,Corning Union Elementary School District,55.74,11183,42078
736,Modoc Joint Unified School District,55.92,10786,44063
737,Healdsburg Unified School District,55.95,16611,91827
738,Allensworth Elementary School District,56.38,13683,28333
739,Cutten Elementary School District,56.57,9847,48594
740,Lucerne Elementary School District,56.73,12110,36453
741,Burlingame Elementary School District,56.76,10794,123316
742,Palermo Union Elementary School District,56.77,11792,38117
743,Mount Pleasant Elementary School District,56.79,14400,104167
744,Columbine Elementary School District,57,10310,45833
745,Potter Valley Cmty. Unif. School District,57.15,22259,62642
746,Geyserville Unified School District,57.26,18169,84464
747,Livermore Valley Joint Unified School District,57.64,11323,121121
748,Yreka Unified Elementary School District,57.69,10825,42609
749,Sunol Glen Elementary School District,57.81,11792,118750
750,El Centro Elementary School District,57.81,10721,43074
751,Apple Valley Unified School District,57.87,8812,53184
752,Santa Monica-Malibu Unified School District,57.89,15621,98455
753,Liberty Elementary School District,58.13,2034,89028
754,Alta Vista Elementary School District,58.13,12511,33333
755,Paradise Unified School District,58.17,9702,48242
756,Oak Park Unified School District,58.4,9951,128954
757,Willows Unified School District,58.66,9806,47339
758,Los Olivos Elementary School District,58.92,15496,99844
759,San Pasqual Union School District,59.05,10605,125929
760,Douglas City Elementary School District,59.29,11297,38971
761,Standard School District,59.38,10468,43319
762,Pleasant View Elementary School District,59.42,12863,30556
763,Forks Of Salmon Elementary School District,59.71,29444,26250
764,Thermalito Union Elementary School District,59.72,12291,33382
765,Buena Vista Elementary School District,60.05,10533,42500
766,Linns Val-Poso Flat Union School District,60.09,26364,42891
767,Encinitas Union Elementary School District,60.71,11877,120336
768,Orchard Elementary School District,60.74,11384,122980
769,Howell Mt Elementary School District,60.8,18081,87422
770,Mission Union Elementary School District,60.8,11092,39000
771,Arcata Elementary School District,61.07,12481,31426
772,Blochman Union Elementary School District,61.09,1695,88750
773,Taft Union High School District,61.09,26005,45505
774,Newcastle Elementary School District,61.33,4653,72854
775,Calistoga Joint Unified School District,61.43,18894,83542
776,Seeley Union Elementary School District,61.82,12290,31912
777,Rio Dell Elementary School District,61.87,11306,37108
778,Milpitas Unified School District,62.14,11069,125644
779,Washington Union Elementary School District,62.6,10155,130824
780,Evergreen Elementary School District,62.62,10612,128405
781,Tipton Elementary School District,62.89,11681,34397
782,Rockford Elementary School District,62.91,10860,38750
783,Eastern Sierra Unified School District,62.96,24540,54605
784,Sonora Elementary School District,63.18,9250,47115
785,Cardiff Elementary School District,63.2,14660,107296
786,Strathmore Union Elementary School District,63.4,12046,32098
787,Columbia Union School District,64.1,10410,40303
788,Cabrillo Unified School District,64.11,12275,120614
789,Fremont Unified School District,64.22,11018,127374
790,Bradley Union Elementary School District,64.39,4080,73750
791,Mcfarland Unified School District,65.3,11191,35307
792,Armona Union Elementary School District,65.38,9151,46092
793,San Dieguito Union High School District,65.59,11201,127370
794,Las Virgenes Unified School District,65.92,11125,128000
795,Antelope Elementary School District,66.12,10369,39096
796,Seiad Elementary School District,66.4,26294,47708
797,Plainsburg Elementary School District,67.08,9308,44063
798,Ross Valley School District,67.13,12394,122108
799,Palo Verde Union Elementary School District,67.23,10472,37770
800,Big Pine Unified School District,67.34,25219,54083
801,Buellton Union Elementary School District,67.93,20154,81421
802,Ducor Union Elementary School District,68.04,12559,26103
803,Banta Elementary School District,68.61,5696,62188
804,Hermosa Beach Elementary School District,70.38,9988,137188
805,Oak Valley Union Elementary School District,70.88,9877,38365
806,Waterford Unified School District,72.06,6135,57426
807,San Mateo-Foster City School District,72.11,12491,125099
808,Mendota Unified School District,72.56,11212,30085
809,Orick Elementary School District,73.2,30368,30833
810,Pacific Elementary School District,73.39,8186,45586
811,Southern Trinity Joint Unified School District,74.49,30880,29022
812,Vineland Elementary School District,75.05,10880,30099
813,Beardsley Elementary School District,75.81,10940,29245
814,Reservation Elementary School District,76.25,25167,60625
815,Dublin Unified School Districtrict,76.25,10430,138970
816,Golden Feather Union School District,76.74,8078,43802
817,Spreckels Union School District,77.71,8916,148046
818,Emery Unified School District,78.66,17972,100568
819,Gorman Elementary School District,78.76,453,82917
820,New Jerusalem Elementary School District,80.06,5740,53895
821,Beverly Hills Unified School District,80.07,17657,103241
822,Elk Hills Elementary School District,80.35,10620,27750
823,Union Elementary School District,80.44,11366,136941
824,Sausalito Elementary School District,80.5,18883,97024
825,Acalanes Union High School District,81.7,14295,122258
826,Big Creek Elementary School District,81.87,20797,87813
827,Westside Elementary School District,82.27,8238,39063
828,Liberty Elementary School District,82.86,7518,42474
829,Belridge Elementary School District,84.16,28825,46750
830,Belmont-Redwood Shores Elementary School District,87.86,11344,142277
831,Brisbane Elementary School District,88.21,17091,111975
832,Happy Valley Elementary School District,89.88,12217,139063
833,Mountain View Whisman School District,91.56,14946,125737
834,Larkspur-Cole-Madera School District,91.73,13931,131250
835,Kentfield Elementary School District,93.02,14457,129359
836,Latrobe Elementary School District,94.38,15562,124448
837,Sunnyvale School District,95.24,14530,130538
838,Palos Verdes Peninsula Unified School District,95.62,11907,144749
839,Pleasanton Unified School District,96.31,11307,148421
840,Sequoia Union High School District,98.63,16314,123438
841,Marcum Illinois Union Elementary School District,101.58,1014,63875
842,Pope Valley Union Elementary School District,101.9,28281,62125
843,Orange Center School District,102.28,4648,44063
844,Alexander Valley Union Elementary School District,102.29,19750,107750
845,Santa Clara Unified School District,102.8,17223,121542
846,Carmel Unified School District,102.91,22712,92437
847,San Mateo High School District,102.95,17001,122829
848,Trona Joint Unified School District,104.11,5562,37917
849,La Honda Pescadero Unified School District,104.67,19320,111712
850,Lucerne Valley Unified School District,104.82,7006,29741
851,Meridian Elementary School District,104.88,914,62083
852,Spencer Valley Elementary School District,106.14,1139,60000
853,Moraga School District,107.32,12398,150372
854,San Ramon Valley Unified School District,108.73,10908,159284
855,Alpaugh Unified School District,108.93,6196,31154
856,Ballard Elementary School District,109.64,16725,129000
857,Cupertino Union Elementary School District,109.69,11257,158108
858,Whitmore Union Elementary School District,110.57,2175,51375
859,Manhattan Beach Unified School District,111.16,12960,150083
860,Del Mar Union Elementary School District,117.04,14474,146177
861,Dunsmuir Joint High School District,117.27,35587,34107
862,Fremont Union High School District,117.94,14645,145897
863,Loma Prieta Joint Elementary School District,119.52,13646,152321
864,Willow Grove Elementary School District,120.04,24357,95750
865,Nicasio School District,120.07,22465,105833
866,Solana Beach Elementary School District,122.06,17930,131336
867,Feather Falls Union Elementary School District,122.25,5481,25583
868,Lafayette Elementary School District,122.43,12299,161528
869,Laguna Beach Unified School District,122.65,19481,123507
870,San Marino Unified School District,123.41,13803,154224
871,Pine Ridge Elementary School District,123.69,24459,97778
872,Winship-Robbins School District,123.7,1048,48125
873,Warner Unified School District,123.76,2191,42009
874,Tamalpais Union High School District,124.93,18416,130775
875,Mill Valley Elementary School District,126.91,14946,150610
876,Los Gatos Union School District,127.76,12802,162611
877,Shoreline Unified School District,130.05,28061,83107
878,Laguna Joint Elementary School District,132.26,26077,95208
879,St Helena Unified School District,132.96,27432,88494
880,Horicon Elementary School District,133.37,29790,76250
881,San Carlos Elementary School District,134.76,12138,171061
882,Oro Grande Elementary School District,141.11,2035,30625
883,La Canada Unified School District,141.78,11594,178897
884,Maricopa Unified School District,143.68,990,34375
885,Reed Union Elementary School District,144.69,15602,159641
886,Mountain House Elementary School District,148.97,28250,95417
887,Kneeland Elementary School District,150.71,32615,73438
888,Ravendale-Termo Elementary School District,153.29,809,28571
889,Alpine County Unified School District,156.48,35025,64688
890,Mt Vw-Los Altos Unified High School District,160.08,20860,142519
891,Rancho Santa Fe Elementary School District,160.14,21002,141806
892,Fort Ross School District,161.38,38000,52321
893,Mckittrick Elementary School District,169.09,41221,40625
894,Los Gatos-Saratoga Union High School District,170.32,16723,171720
895,Palo Alto Unified School District,173.72,20962,151579
896,Vista Del Mar Elementary School District,174.46,29493,106750
897,Jefferson Elementary School District,178.44,34111,85000
898,Big Lagoon Elementary School District,184.59,41235,51458
899,Coffee Creek Elementary School District,186.26,42200,47500
900,Cold Spring Elementary School District,189.82,21918,157824
901,Menlo Park City Elementary School District,190.97,17368,182819
902,Orinda Union Elementary School District,196,13025,209449
903,Saratoga Union Elementary School District,202.08,18109,186703
904,Los Altos Elementary School District,203.38,15669,200585
905,Las Lomitas Elementary School District,208.58,20139,180481
906,Montecito Elementary School District,218.14,29215,138967
907,Lincoln Elementary School District,221.93,37000,100250
908,Lakeside Joint School District,224.87,23784,172574
909,Piedmont City Unified School District,225.57,16668,210889
910,Death Valley Unified School District,281.06,57808,31250
911,Portola Valley Elementary School District,282.25,25016,206406
912,Panoche Elementary School District,286.8,57000,39583
913,Bolinas Stinson Unified School District,303.19,50703,84596
914,Hillsborough City School District,309.04,20362,250000
915,Ross Elementary School District,311.99,20752,250000
916,Woodside Elementary School District,338.51,27516,232708
917,Silver Fork Elementary School District,436.07,72333,63125
918,Desert Center Unified School District,440.19,77200,40156
919,Indian Springs Elementary School District,453.31,82571,20833
